assignment3_4_regions_10metrics_template,,,,,,,,,,,,
country,iso3,region,happy planet index.1 (2019),human development index.1 (2021),GDP per capita in $ (2021),Economic Growth (2021 or latest),Health expenditure % of GDP(2021 or latest),Health Expenditure per person (2019),infant mortality (2020),"education expenditure
% of GDP.2 (2021 or latest year)",Unemployment % (2021),CO2e emissions per capita (2019)
Afghanistan,AFG,,29.4,0.478,,-2.35,3.21,65.80603027,60.7776428917134,,13.2829999923706,0.159824372036919
Albania,ALB,,51,0.796,15646.0415226344,8.54408325116881,3.92,,2.4,3.09999990463257,11.8190002441406,1.69224831964856
Algeria,DZA,,46.5,0.745,12037.4812354389,3.84779349036314,6.1,248.20587158,11.5513498559687,6.10035991668701,12.7040004730225,3.9776504588966
Angola,AGO,,,0.586,6581.04202131983,0.700000004941785,2.42,71.32600403,8.8,2.41520023345947,8.52999973297119,0.792137069457626
Argentina,ARG,,50,0.842,23627.3942944195,10.2637609278887,4.72,945.99194336,9.7,4.72417020797729,10.9020004272461,3.74065029063396
Armenia,ARM,,54.7,0.759,14630.2442233356,5.70000000010526,2.71,523.99908447,,2.70567011833191,20.8969993591309,2.08606067775467
Australia,AUS,,43.1,0.951,55807.4440245279,1.47516288330458,5.12,5427.46240234,3,,5.11199998855591,15.2382671504147
Austria,AUT,,46.8,0.916,58427.4956899576,4.48396920576444,5.22,5242.18310547,17.3,,6.30100011825562,7.2939842524557
Azerbaijan,AZE,,48,0.745,15842.8895089134,5.60003727280338,2.46,193.10884094,38.6,2.68108010292053,6.58300018310547,3.54239782750878
Bahamas,BHS,,,0.812,34107.8498310476,13.7197349437703,2.78,2004.61633301,4.9,2.78222227096558,13.2390003204346,7.29166109736758
Bahrain,BHR,,33.6,0.875,45411.1203505007,2.22535124229128,2.15,940.39569092,10.5,2.15205335617065,1.87399995326996,20.2661027913927
Bangladesh,BGD,,54.5,0.661,6613.01327474804,6.93867508910159,1.33,45.85716248,5.1,1.32632005214691,5.22900009155273,0.556529455394022
Barbados,BRB,,,0.79,14816.8628612989,1.39999999999998,6.45,1143.32202148,9.6,6.4536247253418,10.4130001068115,4.35508203232516
Belarus,BLR,,42.9,0.808,21698.5740886624,2.50674234799824,4.95,399.39709473,10,4.95244979858398,4.73600006103516,6.12223776544422
Belgium,BEL,,42.5,0.937,58930.9363265369,6.24472194643204,6.38,4960.39355469,56.5,,6.42000007629395,8.09558395403513
Belize,BLZ,,,0.683,6921.45007598508,9.75316324414021,8.71,293.41259766,,8.7070140838623,8.2189998626709,1.63955000933746
Benin,BEN,,41.4,0.525,3789.27334657883,6.60000101128134,3,29.12529182,52.8,3.003662109375,1.57400000095367,0.618583745834187
